"gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","anonym_id"
"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles","Often","Sometimes","Rarely","Often","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Slightly agree","Strongly agree","Neither agree nor disagree","Slightly agree","Slightly disagree","Slightly disagree","Agree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",36
"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles","Often","Rarely","Sometimes","Sometimes","Disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Often","Sometimes","Sometimes","Sometimes","Always","Always","Sometimes","Always","Always","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Sometimes","Often","Often","Often","Often","Often","Often","Often","Slightly disagree","Disagree","Agree","Disagree","Slightly agree","Slightly agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Slightly satisfied","Slightly satisfied",37
"Man","PhD student","Non-STEM","In the last 5 years","1-5 years","3-4 articles","Often","Always","Often","Often","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Often","Often","Often","Always","Rarely","Rarely","Rarely","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Completely acceptable","Somewhat acceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Often","Often","Often","Often","Often","Sometimes","Often","Slightly agree","Strongly agree","Strongly agree","Slightly agree","Agree","Slightly agree","Agree","Strongly agree","Slightly agree","Strongly agree","Agree","Strongly agree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",38
"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","In the last 5 years","Less than 1 year","","Always","Always","Always","Always","Agree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Rarely","Never","Never","Never","Rarely","Rarely","Never","Rarely","Never","Rarely","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Slightly agree","Agree","Neither agree nor disagree","Strongly disagree","Slightly agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied",39
"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Often","Rarely","Sometimes","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Sometimes","Often","Sometimes","Rarely","Sometimes","Never","Never","Never","Sometimes","Rarely","Rarely","Often","Rarely","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Sometimes","Sometimes","Often","Often","Often","Often","Slightly disagree","Slightly agree","Slightly disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Agree","Dissatisfied","Dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Satisfied",40
"Man","Post Doc","Non-STEM","In the last year","More than 10 years","","Sometimes","Often","Sometimes","Often","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Always","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Always","Often","Often","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Often","Sometimes","Often","Sometimes","Always","Sometimes","Sometimes","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Slightly agree","Disagree","Slightly satisfied","Satisfied","Dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied",41
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Never","Never","Never","Never","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Rarely","Rarely","Often","Always","Always","Often","Always","Always","Always","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Always","Always","Always","Always","Often","Sometimes","Agree","Strongly disagree","Agree","Agree","Disagree","Strongly agree","Neither agree nor disagree","Slightly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Very dissatisfied","Very dissatisfied","Slightly dissatisfied","Very satisfied","Slightly dissatisfied","Slightly dissatisfied",42
"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles","Sometimes","Never","Never","Sometimes","Disagree","Neither agree nor disagree","Disagree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Sometimes","Rarely","Rarely","Often","Often","Sometimes","Sometimes","Sometimes","Often","Rarely","Often","Often","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Often","Often","Often","Often","Often","Often","Often","Often","Slightly disagree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly disagree","Strongly disagree","Satisfied","Satisfied","Satisfied","Satisfied","Slightly satisfied","Slightly satisfied",43
"Woman","Post Doc","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Rarely","Sometimes","Disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Often","Often","Sometimes","Sometimes","Often","Often","Sometimes","Often","Often","Sometimes","Always","Often","Always","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely acceptable","Neither acceptable or unacceptable","Completely acceptable","Completely unacceptable","Often","Often","Sometimes","Often","Sometimes","Often","Always","Often","Disagree","Agree","Slightly disagree","Disagree","Agree","Disagree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly disagree","Disagree","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",44
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Sometimes","Sometimes","Sometimes","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Sometimes","Never","Rarely","Rarely","Never","Never","Never","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Neither acceptable or unacceptable","Somewhat acceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Often","Rarely","Often","Often","Often","Often","Often","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Slightly agree","Disagree","Slightly disagree","Slightly agree","Disagree","Disagree","Disagree","Slightly agree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Satisfied","Slightly satisfied",46
"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","In the last 5 years","6-10 years","","Rarely","Never","Never","Rarely","Strongly disagree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Sometimes","Sometimes","Sometimes","Often","Often","Always","Often","Often","Often","Often","Often","Always","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Sometimes","Sometimes","Often","Often","Often","Always","Always","Agree","Disagree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Satisfied","Satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied",47
